               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.014343,           0.0067677,           0.0045203,             0.70751,             0.66378,             0.69979,             0.57363,           0.0068138,           0.0045646,            0.011919,           0.0099945,           0.0099945,           0.0099945
                  58,            0.014202,           0.0067199,           0.0048557,             0.73078,             0.64931,             0.71448,             0.58106,           0.0069114,           0.0045573,            0.012428,           0.0099944,           0.0099944,           0.0099944
                  59,            0.014493,           0.0067659,            0.004857,             0.72068,             0.67389,             0.71195,             0.57824,           0.0070532,           0.0045108,            0.012966,           0.0099943,           0.0099943,           0.0099943
                  60,            0.014049,           0.0067214,           0.0048848,             0.72282,             0.67388,             0.70385,             0.56862,           0.0072709,           0.0046441,            0.013378,           0.0099942,           0.0099942,           0.0099942
                  61,            0.014337,           0.0068142,           0.0048321,             0.72294,              0.6794,             0.70842,             0.56946,           0.0073427,           0.0044522,            0.013549,           0.0099941,           0.0099941,           0.0099941
                  62,            0.014062,           0.0066962,           0.0049147,              0.7141,             0.69785,              0.7089,             0.57154,           0.0072946,           0.0044059,            0.013785,            0.009994,            0.009994,            0.009994
                  63,            0.014218,           0.0067183,           0.0049792,              0.7286,              0.6869,             0.71077,             0.57266,           0.0074767,           0.0043999,            0.014043,           0.0099939,           0.0099939,           0.0099939
                  64,             0.01405,           0.0066439,           0.0044548,             0.72494,             0.69883,              0.7191,             0.58008,           0.0074476,           0.0043428,            0.013757,           0.0099938,           0.0099938,           0.0099938
                  65,            0.014079,           0.0066222,           0.0047234,             0.73008,              0.6896,             0.71762,             0.58019,           0.0074126,           0.0043368,            0.013704,           0.0099937,           0.0099937,           0.0099937
                  66,            0.013911,           0.0065999,           0.0047704,             0.72306,             0.70512,             0.72249,              0.5839,           0.0073414,           0.0042159,            0.013554,           0.0099936,           0.0099936,           0.0099936
                  67,            0.014029,           0.0066383,            0.004682,             0.72618,             0.69933,             0.72003,             0.58351,           0.0072976,            0.004243,            0.013195,           0.0099935,           0.0099935,           0.0099935
                  68,             0.01403,           0.0066575,           0.0049503,             0.73034,             0.69711,             0.71431,             0.58104,           0.0072857,           0.0042506,            0.013147,           0.0099934,           0.0099934,           0.0099934
                  69,            0.014015,           0.0066628,           0.0049406,             0.73769,             0.69191,             0.71432,             0.58156,           0.0073448,           0.0042106,            0.013232,           0.0099933,           0.0099933,           0.0099933
                  70,            0.013945,           0.0065696,           0.0048124,             0.73673,             0.69213,             0.71141,             0.57913,           0.0073905,           0.0042173,            0.013365,           0.0099932,           0.0099932,           0.0099932
                  71,            0.013942,           0.0065407,             0.00443,             0.73302,             0.69205,             0.70899,             0.57782,           0.0074307,           0.0042486,            0.013352,           0.0099931,           0.0099931,           0.0099931
                  72,             0.01395,             0.00652,           0.0048775,             0.73811,             0.68262,             0.70694,             0.57691,           0.0073687,           0.0042904,            0.013238,            0.009993,            0.009993,            0.009993
                  73,            0.013726,           0.0064832,           0.0048529,             0.73065,             0.68568,             0.70588,             0.57697,           0.0073042,           0.0043249,            0.013127,           0.0099929,           0.0099929,           0.0099929
                  74,            0.013958,           0.0065711,           0.0049493,             0.73063,             0.68901,             0.70682,             0.57701,           0.0071822,           0.0043232,             0.01317,           0.0099928,           0.0099928,           0.0099928
                  75,            0.013819,           0.0065047,           0.0048584,             0.73422,             0.68175,             0.70514,              0.5759,           0.0071688,            0.004342,            0.013148,           0.0099927,           0.0099927,           0.0099927
                  76,            0.013606,            0.006491,           0.0045335,             0.73077,             0.68789,             0.70569,             0.57535,           0.0071801,           0.0043313,            0.013052,           0.0099926,           0.0099926,           0.0099926
                  77,            0.013644,           0.0064217,           0.0046266,             0.73801,             0.68118,             0.70711,             0.57644,           0.0071509,           0.0043484,            0.012999,           0.0099925,           0.0099925,           0.0099925
                  78,            0.013641,           0.0065305,           0.0044159,             0.74079,             0.68436,             0.70987,             0.57842,           0.0071489,           0.0043303,            0.013116,           0.0099924,           0.0099924,           0.0099924
                  79,            0.013559,           0.0064509,           0.0046493,             0.74019,             0.68518,             0.71184,             0.57979,           0.0071439,           0.0042932,            0.013295,           0.0099923,           0.0099923,           0.0099923
                  80,            0.013544,           0.0064405,           0.0048118,             0.74153,             0.68922,             0.71371,              0.5803,           0.0071535,            0.004241,            0.013489,           0.0099922,           0.0099922,           0.0099922
                  81,            0.013683,           0.0063536,           0.0046877,             0.74038,             0.69393,             0.71405,             0.58088,           0.0071719,           0.0042194,            0.013569,           0.0099921,           0.0099921,           0.0099921
                  82,            0.013817,           0.0064297,           0.0046412,             0.73927,             0.69679,             0.71437,             0.58144,           0.0071672,           0.0042111,            0.013703,            0.009992,            0.009992,            0.009992
                  83,            0.013607,           0.0064803,           0.0044316,             0.74003,             0.69618,              0.7149,             0.58223,           0.0071828,           0.0042112,            0.013654,           0.0099919,           0.0099919,           0.0099919
                  84,            0.013318,           0.0063547,           0.0044683,             0.73868,             0.69746,             0.71365,             0.58164,           0.0071717,           0.0042173,            0.013666,           0.0099918,           0.0099918,           0.0099918
                  85,             0.01367,           0.0062647,           0.0042459,             0.73647,             0.70038,             0.71662,              0.5821,           0.0071836,           0.0042087,            0.013666,           0.0099917,           0.0099917,           0.0099917
                  86,            0.013313,           0.0063967,           0.0046285,             0.73809,             0.69466,             0.71971,             0.58366,           0.0071792,           0.0042207,            0.013434,           0.0099916,           0.0099916,           0.0099916
                  87,            0.013517,           0.0063647,           0.0043934,             0.73924,             0.69283,             0.72094,             0.58428,           0.0071515,           0.0042309,            0.013339,           0.0099915,           0.0099915,           0.0099915
                  88,            0.013479,           0.0063317,           0.0043214,             0.74153,             0.69161,             0.72167,             0.58546,           0.0071368,            0.004214,            0.013304,           0.0099914,           0.0099914,           0.0099914
                  89,            0.013543,           0.0063744,           0.0046041,             0.74444,             0.69066,             0.72278,             0.58663,            0.007132,           0.0042111,            0.013179,           0.0099913,           0.0099913,           0.0099913
                  90,            0.013505,           0.0062661,           0.0043014,             0.74227,             0.69067,              0.7227,             0.58718,           0.0071143,           0.0041933,             0.01321,           0.0099912,           0.0099912,           0.0099912
                  91,            0.013439,           0.0064119,           0.0047613,             0.74339,             0.68767,             0.72256,             0.58746,           0.0070814,           0.0041932,            0.013119,           0.0099911,           0.0099911,           0.0099911
                  92,            0.013349,             0.00631,           0.0044091,             0.74413,             0.68776,             0.72356,             0.58837,           0.0070731,           0.0041692,            0.013106,            0.009991,            0.009991,            0.009991
                  93,             0.01342,           0.0062877,           0.0044845,             0.74302,             0.68845,             0.72456,             0.58925,           0.0070627,           0.0041559,            0.013086,           0.0099909,           0.0099909,           0.0099909
                  94,             0.01337,           0.0062701,           0.0042625,             0.74063,             0.68886,             0.72374,             0.58891,           0.0070538,           0.0041448,            0.013117,           0.0099908,           0.0099908,           0.0099908
                  95,            0.013301,           0.0063065,           0.0043661,             0.74027,             0.69159,             0.72332,             0.58885,           0.0070436,           0.0041348,            0.013123,           0.0099907,           0.0099907,           0.0099907
                  96,            0.013482,           0.0063294,           0.0047532,             0.73875,             0.69319,             0.72385,              0.5895,           0.0070346,            0.004135,            0.013057,           0.0099906,           0.0099906,           0.0099906
                  97,            0.013239,           0.0062151,           0.0044482,             0.73528,             0.69541,             0.72236,             0.58913,           0.0070423,           0.0041379,             0.01303,           0.0099905,           0.0099905,           0.0099905
                  98,             0.01331,           0.0061824,           0.0043837,             0.73263,             0.69548,             0.72208,             0.58892,           0.0070505,           0.0041358,            0.012999,           0.0099904,           0.0099904,           0.0099904
                  99,             0.01321,           0.0061457,           0.0044001,             0.73229,             0.69686,              0.7222,             0.58892,           0.0070528,           0.0041308,            0.013005,           0.0099903,           0.0099903,           0.0099903
                 100,            0.013345,            0.006217,           0.0045576,             0.73339,             0.69642,             0.72318,              0.5896,           0.0070476,           0.0041227,            0.013006,           0.0099902,           0.0099902,           0.0099902
                 101,            0.013185,            0.006305,           0.0044931,             0.73373,             0.69295,             0.72369,             0.59007,           0.0070385,           0.0041205,            0.012995,           0.0099901,           0.0099901,           0.0099901
                 102,             0.01307,           0.0061869,           0.0044469,             0.73334,             0.69029,             0.72348,             0.58998,            0.007019,           0.0041306,            0.012947,             0.00999,             0.00999,             0.00999
                 103,             0.01314,           0.0061508,           0.0043598,             0.73177,             0.69254,             0.72393,             0.59076,           0.0070125,           0.0041227,            0.012944,           0.0099899,           0.0099899,           0.0099899
                 104,            0.013386,           0.0062296,           0.0043132,             0.73201,             0.69319,             0.72439,              0.5914,           0.0069963,           0.0041203,            0.012922,           0.0099898,           0.0099898,           0.0099898
                 105,            0.013155,           0.0062337,           0.0042644,              0.7332,             0.69435,             0.72514,             0.59182,            0.007012,           0.0040975,            0.012898,           0.0099897,           0.0099897,           0.0099897
